size,sparsity,spectral_norm,spectral_cond,fwd_err,decomp_err_12,decomp_err_365
3,0.5555555555555556,0.0486972978917006118595974890162,inf,"('5.3565e-17', '2.4518e-13', '6.2423e-17')","('1.00526e-15', '1.00526e-15', '5.20445e-15', '1.25822', 'Schur-Padé with RegRE')","('1.02636e-14', '1.02636e-14', '1.87133e-14', '1.19289', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0334913264195884353530316120984,inf,"('2.4477e-17', '5.5773e-14', '5.0102e-16')","('9.25642e-16', '7.60412e-16', '1.61246e-14', '1.36625', 'Sonnenberg method')","('1.6615e-14', '1.88156e-14', '1.98656e-13', '1.42515', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0425537136251008335219959362929,inf,"('2.6186e-17', '5.9374e-14', '1.3064e-16')","('7.03133e-16', '4.58647e-16', '2.00252e-15', '1.26578', 'Schur-Padé with RegRE')","('1.16952e-14', '2.91993e-14', '3.47654e-14', '1.70226', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0561189274687554481838904036829,inf,"('3.2971e-17', '3.7565e-12', '8.9965e-16')","('3.7019e-16', '7.84304e-16', '7.96755e-15', '1.2077', 'Schur-Padé with RegRE')","('1.84238e-14', '1.84236e-14', '4.09699e-13', '1.22822', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0458867488341142779916921975677,inf,"('6.763e-17', '4.8218e-13', '8.3342e-16')","('3.52692e-16', '3.52696e-16', '9.84064e-15', '1.59513', 'Schur-Padé with RegRE')","('2.07679e-14', '2.07678e-14', '7.02477e-14', '1.70218', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.057282104158080507602870027589,inf,"('3.9062e-17', '2.0821e-12', '3.4883e-16')","('1.01915e-15', '1.01895e-15', '8.50129e-15', '1.45865', 'Schur-Padé with RegRE')","('2.78134e-14', '4.39994e-14', '2.572e-13', '1.2394', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0472555727908486772667611944505,inf,"('1.8007e-17', '3.0895e-13', '3.4644e-16')","('5.77759e-16', '1.21743e-15', '6.53761e-15', '1.38253', 'Schur-Padé with RegRE')","('9.98885e-15', '9.98884e-15', '3.87205e-13', '1.70065', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.019124242218680277984862577214,inf,"('5.4785e-17', '1.2659e-15', '7.3726e-16')","('1.81097e-16', '1.00061e-15', '7.98959e-15', '1.16431', 'Sonnenberg method')","('2.88649e-14', '2.88648e-14', '3.15535e-13', '1.61531', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0537881005561216788127353382977,inf,"('5.9135e-17', '1.316e-12', '9.7363e-16')","('6.40072e-17', '1.21081e-15', '6.64909e-15', '1.35603', 'Schur-Padé with RegRE')","('3.43881e-14', '3.43881e-14', '2.08085e-13', '1.31767', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0530291043657463206907646819455,inf,"('7.1838e-17', '1.5741e-12', '4.4261e-16')","('5.63962e-16', '5.83987e-16', '9.54757e-15', '1.23692', 'Sonnenberg method')","('2.01487e-14', '2.01487e-14', '4.62223e-13', '1.28384', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0608060162375934779644774429589,inf,"('1.2405e-17', '1.5523e-12', '3.6881e-17')","('3.72901e-16', '1.55862e-15', '4.49873e-16', '1.46239', 'Sonnenberg method')","('2.04581e-14', '1.55915e-14', '2.68247e-14', '1.69985', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0429627591877467596169971854671,inf,"('2.2791e-17', '2.9664e-13', '6.1058e-17')","('7.77883e-16', '1.20577e-15', '5.44085e-15', '1.57471', 'Sonnenberg method')","('2.07791e-14', '2.80416e-14', '4.14798e-14', '1.70549', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0586442145065888073717719196676,inf,"('1.6169e-17', '1.1645e-12', '4.4294e-16')","('8.13335e-16', '4.06789e-16', '9.99007e-16', '1.38332', 'Sonnenberg method')","('5.64726e-15', '4.1161e-14', '1.57002e-13', '1.70586', 'Schur-Padé with RegRE')"
